date,filter,number,duration,binning,gain,sensorCooling,fNumber,darks,flats,flatDarks,bias,bortle,meanSqm,meanFwhm,temperature
2026-07-29,4663,2,600.0,1.0,100,-10.0,5.4,50,100,0,100,4.0,21.0,4.31,20.9
2026-09-04,4637,5,60.0,1.0,0,-10.0,5.4,0,1,0,0,4.0,21.0,4.34,12.5
